id;username;title;subscribers;link
1478765631;@yurasumy;Мир сегодня с "Юрий Подоляка";2707007;https://t.me/yurasumy
1101806611;@boris_rozhin;Colonelcassad;818247;https://t.me/boris_rozhin
1355540894;@RVvoenkor;Операция Z: Военкоры Русской Весны;1215292;https://t.me/RVvoenkor
1135021433;@wargonzo;WarGonzo;1251988;https://t.me/wargonzo
1326223284;@rybar;Рыбарь;1076650;https://t.me/rybar
1164348791;@Sladkov_plus;Сладков +;983483;https://t.me/Sladkov_plus
1407902266;@strelkovii;Стрелков Игорь Иванович #КРП;783628;https://t.me/strelkovii
1242259852;@legitimniy;Легитимный;911473;https://t.me/legitimniy
1271765197;@rezident_ua;Резидент;879649;https://t.me/rezident_ua
1200595041;@OpenUkraine;🇺🇦 Open Ukraine| Открытая Украина;188617;https://t.me/OpenUkraine
1175084215;@ukraina_ru;Украина.ру;258100;https://t.me/ukraina_ru
1785357427;@mriya24;Мрія;155120;https://t.me/mriya24
1736895964;@warfakes;Война с фейками;708951;https://t.me/warfakes
1343028414;@ASupersharij;Анатолий Шарий;1048157;https://t.me/ASupersharij
1647639783;@opersvodki;Оперативные сводки;589135;https://t.me/opersvodki
1093357968;@epoddubny;Поддубный |Z|О|V| edition;850111;https://t.me/epoddubny
1498939244;@voenacher;Повёрнутые на Z войне 🇷🇺;651857;https://t.me/voenacher
1583313036;@rusich_army;АРХАНГЕЛ СПЕЦНАЗА Z🇷🇺;733510;https://t.me/rusich_army
1510269826;@ghost_of_novorossia;ПриZрак Новороссии;169508;https://t.me/ghost_of_novorossia
1263569229;@vysokygovorit;Старше Эдды;615923;https://t.me/vysokygovorit
1626866857;@orchestra_w;Оркестр Вагнера | Wagner;666031;https://t.me/orchestra_w
1315735637;@SolovievLive;СОЛОВЬЁВ;1322705;https://t.me/SolovievLive
1227152968;@margaritasimonyan;Маргарита Симоньян;487327;https://t.me/margaritasimonyan
1472186202;@MariaVladimirovnaZakharova;Мария Захарова;527428;https://t.me/MariaVladimirovnaZakharova
1109403194;@sashakots;Kotsnews;650426;https://t.me/sashakots
1456389846;@ukr_leaks;UKR LEAKS;127926;https://t.me/ukr_leaks
1260622817;@readovkanews;Readovka;1786748;https://t.me/readovkanews
1101170442;@rian_ru;РИА Новости;2674331;https://t.me/rian_ru
1111072403;@truekpru;Комсомольская правда: KP.RU;209478;https://t.me/truekpru
1117628569;@breakingmash;Mash;1759437;https://t.me/breakingmash
1099860397;@rbc_news;РБК;359259;https://t.me/rbc_news
1040060096;@mk_ru;Московский комсомолец: главное сегодня;44779;https://t.me/mk_ru
